日期,报单编号,交易所,合约代码,买卖,开平,报单价格,报单数量,报单状态,成交均价,成交数量,撤单数量,剩余数量,报单时间,撤单时间,成交时间
20240820,122,CZCE,SR501,买,开仓,6127,12,全部成交,6127,12,0,0,14:55:00,,14:55:00
20240820,123,CZCE,SR501,买,开仓,6131,12,全部成交,6131,12,0,0,14:55:00,,14:55:00
20240820,124,CZCE,SR501,买,开仓,6135,12,全部成交,6135,12,0,0,14:55:00,,14:55:00
20240820,125,CZCE,SR501,买,开仓,6139,12,全部成交,6139,12,0,0,14:55:00,,14:55:00
20240820,126,CZCE,SR501,买,开仓,6143,12,全部成交,6143,12,0,0,14:55:00,,14:55:00
20240820,127,CZCE,SR501,买,开仓,6147,12,全部成交,6147,12,0,0,14:55:00,,14:55:00
20240820,128,CZCE,SR501,买,开仓,6151,12,全部成交,6151,12,0,0,14:55:00,,14:55:00
20240820,129,CZCE,SR501,买,开仓,6155,12,全部成交,6155,12,0,0,14:55:00,,14:55:00
20240820,130,CZCE,SR501,买,开仓,6159,12,全部成交,6159,12,0,0,14:55:00,,14:55:00
20240820,131,CZCE,SR501,买,开仓,6163,12,全部成交,6163,12,0,0,14:55:00,,14:55:00
20240820,132,CZCE,SR501,买,开仓,6167,12,全部成交,6167,12,0,0,14:55:00,,14:55:00
20240820,133,CZCE,SR501,买,开仓,6171,12,全部成交,6171,12,0,0,14:55:00,,14:55:00
20240820,134,CZCE,SR501,买,开仓,6175,12,全部成交,6175,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6179,12,全部成交,6179,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6183,12,全部成交,6183,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6187,12,全部成交,6187,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6191,12,全部成交,6191,12,0,0,14:55:00,,14:55:00
